c0,c1
34.0423,-118.2452
33.9851,-118.2783
34.0403,-118.2421
34.0401,-118.2668
34.0897,-118.2561
34.0488,-118.2518
34.053,-118.2513
34.1847,-118.6234
34.0451,-118.2604
34.0458,-118.243
34.0487,-118.2571
34.1939,-118.4749
34.2084,-118.5535
34.17,-118.3703
34.2776,-118.4361
34.0502,-118.254
33.7735,-118.1481
33.9869,-118.2783
34.2662,-118.4035
34.0597,-118.302
34.0522,-118.2434
34.0378,-118.2561
34.0364,-118.2707
34.0408,-118.2428
34.0467,-118.2485
34.0532,-118.2425
34.0488,-118.2483
34.0437,-118.2652
34.0437,-118.2652
34.0449,-118.2458
34.0372,-118.2654
34.0522,-118.2434
34.0451,-118.2604
34.054,-118.2435
34.0643,-118.2299
34.0419,-118.2485
34.0586,-118.2402
34.0604,-118.2393
34.0677,-118.2259
34.0563,-118.2374
34.0364,-118.2707
34.0515,-118.2424
34.032,-118.2657
34.0354,-118.2714
34.0344,-118.272
34.0502,-118.254
34.0502,-118.254
34.0502,-118.254
34.0485,-118.2447
34.0382,-118.2384
34.0377,-118.2621
34.0477,-118.2393
34.0363,-118.2325
34.0537,-118.2523
34.0416,-118.255
34.048,-118.2577
34.0591,-118.2412
34.0374,-118.2406
34.0423,-118.2452
33.9451,-118.4029
34.0481,-118.2507
34.045,-118.264
34.0423,-118.2452
34.0626,-118.2445
34.0523,-118.2572
33.9314,-118.4178
34.0412,-118.2474
34.0606,-118.2439
34.0633,-118.229
34.0435,-118.2427
34.0523,-118.2536
34.0473,-118.2425
34.0578,-118.252
34.0451,-118.2604
34.0467,-118.247
34.0458,-118.243
34.0529,-118.2549
34.053,-118.2513
34.1211,-118.2223
33.9664,-118.309
34.0945,-118.2903
34.1177,-118.1731
33.9897,-118.2915
33.973,-118.2608
33.9754,-118.309
33.9932,-118.2915
33.9757,-118.3309
34.091,-118.2362
34.1031,-118.2077
34.1047,-118.2384
33.9933,-118.2827
33.9697,-118.2739
33.9708,-118.2842
34.0932,-118.2115
33.9933,-118.3089
33.9931,-118.3356
33.9855,-118.287
33.9713,-118.2717
33.9689,-118.2761
33.9667,-118.2914
34.1201,-118.1781
33.9665,-118.2629
34.0006,-118.2871
34.001,-118.3002
34.1087,-118.2695
34.1031,-118.2258
33.9829,-118.3323
